채널명,카테고리,구독자 수,평균 조회수,30일 동영상 조회수,태그,스타일
tzuyang쯔양,인물/블로그,1190만,151.96만,2279.41만,먹방,유쾌한
쏘영 Ssoyoung,엔터테인먼트,1180만,16.81만,487.46만,먹방,유쾌한
문복희 Eat with Boki,인물/블로그,1050만,68.58만,1371.59만,먹방,유쾌한
이지금 [IU Official],엔터테인먼트,1010만,30.95만,495.19만,음악,창의적인
야미보이 Yummyboy,여행/이벤트,785만,21.59만,86.36만,음식,차분한
Sungha Jung,음악,720만,2.59만,12.96만,핑거스타일기타,차분한
백종원 PAIK JONG WON,인물/블로그,649만,295.73만,295.73만,요리,유쾌한
jenny slime,노하우/스타일,625만,8.853천,36.3만,슬라임,차분한
영국남자 Korean Englishman,코미디,613만,7.56만,226.67만,코미디,유쾌한
떵개떵,인물/블로그,522만,9.05만,298.49만,먹방,유쾌한
Raon,음악,451만,9.9만,49.5만,음악,창의적인
Allblanc TV,스포츠,442만,83.63만,1923.58만,운동,실용적
옐언니,엔터테인먼트,439만,19.03만,285.49만,코미디,유쾌한
허팝Heopop,엔터테인먼트,426만,16.21만,64.85만,코미디,유쾌한
헤이지니 Hey Jini,게임,409만,8.63만,155.35만,키즈,유쾌한
사나고 Sanago,노하우/스타일,399만,52.67만,105.34만,DIY,창의적인
Lime Tube[라임튜브],"엔터테인먼트, 게임",385만,3.48만,48.7만,키즈,유쾌한
흥삼이네 Heungsam's Family,인물/블로그,377만,21.91만,635.49만,먹방,차분한
지무비 : G Movie,"영화, 드라마",377만,71.17만,3914.19만,영화,유쾌한
백현 Baekhyun,인물/블로그,376만,7.91만,142.3만,음악,창의적인
총몇명,Film & Animation,375만,70.54만,1128.58만,애니,유쾌한
drawholic,교육,375만,3.24만,19.46만,그림,차분한
Serena Art,교육,352만,2.1만,31.57만,그림,창의적인
솔라시도 solarsido,인물/블로그,324만,2.43만,41.25만,브이로그,유쾌한
키에커,Film & Animation,318만,14.7만,205.81만,애니,유쾌한
짤툰,Film & Animation,317만,42.1만,547.33만,애니,유쾌한
Thankyou BUBU,노하우/스타일,315만,9.22만,36.89만,운동,실용적
지현꿍,인물/블로그,300만,34.32만,34.32만,브이로그,차분한
겜브링 GGAM BRING,게임,296만,8.59만,240.64만,게임,하이텐션
흔한남매,엔터테인먼트,292만,39.47만,552.62만,코미디,유쾌한
감스트,인물/블로그,287만,93.24만,1212.13만,코미디,하이텐션
나도Nado,엔터테인먼트 ,285만,13.6만,122.36만,먹방,유쾌한
진용진,인물/블로그,278만,47.02만,752.25만,드라마,창의적인
혜안,게임,273만,72.32만,1591.1만,게임,하이텐션
ITSub잇섭,과학기술,271만,69.08만,898.07만,전자제품리뷰,유쾌한
RISABAE,노하우/스타일,258만,27.32만,191.24만,코스메틱,유쾌한
디바제시카 ,교육,257만,15.09만,452.59만,사건,정보 위주
엔조이커플enjoycouple,엔터테인먼트,254만,76.19만,1371.47만,코미디,유쾌한
고몽,Film & Animation,250만,25.46만,509.2만,"영화,드라마",유쾌한
도티 TV,게임,236만,3.69만,48.03만,게임,하이텐션
비몽,엔터테인먼트,231만,2.83만,492.59만,K-POP,차분한
올리버쌤,인물/블로그,227만,55.55만,277.76만,브이로그,차분한
밀키복이탄이MilkyBokiTan,동물,221만,5.48만,21.91만,동물,차분한
