"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.888658750E-1,1.104566628E-1,-1.750071645E-2,5.056558806E-2,1.227347878E-1
5.988448750E-1,1.010651940E-1,-4.116498291E-2,8.686451811E-2,1.394782196E-1
6.088228750E-1,2.002249631E-1,-2.052080333E-2,1.280282950E-1,2.385422049E-1
6.188008750E-1,2.217745109E-1,1.944783926E-3,1.312653136E-1,2.577174779E-1
6.287798750E-1,1.711813495E-1,-2.661243260E-2,1.098645409E-1,2.051377424E-1
6.387578750E-1,1.461918665E-1,-1.877891779E-2,8.099274416E-2,1.681800648E-1
6.487368750E-1,1.597624683E-1,6.122034788E-3,6.746287186E-2,1.735302990E-1
6.587148750E-1,1.404992914E-1,1.065070331E-2,8.530093610E-2,1.647110745E-1
6.686938750E-1,1.157962488E-1,-7.447598577E-3,9.620891690E-2,1.507328553E-1
6.786718750E-1,1.132514675E-1,-1.868185401E-2,5.602155190E-2,1.277236111E-1
6.886498750E-1,9.836717902E-2,-1.136991084E-2,3.287889361E-3,9.907667231E-2
6.986288750E-1,6.588964194E-2,-2.891389668E-2,-4.476277471E-2,8.474175084E-2
7.086068750E-1,3.566302707E-2,-6.261549354E-2,-1.150924633E-1,1.357896411E-1
7.185858750E-1,4.959138712E-2,-6.890943646E-2,-1.535361886E-1,1.754456535E-1
7.285638750E-1,7.388960140E-2,-4.465343177E-2,-1.559984511E-1,1.782950333E-1
7.385418750E-1,7.655012107E-2,-3.865594268E-2,-1.028659719E-1,1.339239005E-1
7.485208750E-1,9.182904175E-2,-2.264275789E-2,-6.214534085E-2,1.131693898E-1
7.584988750E-1,1.111649068E-1,1.057527423E-2,-5.966085892E-2,1.266052567E-1
7.684778750E-1,1.329081437E-1,3.374428153E-3,-3.780751169E-2,1.382221739E-1
7.784558750E-1,1.555691558E-1,-1.654294252E-2,-2.312628608E-2,1.581463130E-1
7.884338750E-1,1.658150126E-1,-2.910802424E-2,-2.280706465E-2,1.698883682E-1
7.984128750E-1,1.629021307E-1,-2.293804228E-2,-3.136274714E-2,1.674720272E-1
8.083908750E-1,1.749419680E-1,-1.540098131E-2,-9.894676600E-3,1.758970921E-1
8.183698750E-1,1.779147473E-1,6.841242313E-5,7.720663548E-3,1.780822019E-1
8.283478750E-1,1.752250464E-1,-1.546003819E-3,2.265152872E-2,1.766898377E-1
8.383258750E-1,2.004643334E-1,-2.009278715E-2,2.495006919E-2,2.030078201E-1
8.483048750E-1,1.654449569E-1,-2.756494403E-2,1.881403763E-2,1.687774509E-1
8.582828750E-1,1.693337573E-1,-3.667549074E-2,3.986635286E-2,1.777873423E-1
8.682618750E-1,1.353239391E-1,-2.541960061E-2,4.153160334E-2,1.438179358E-1
8.782398750E-1,1.046829576E-1,-1.026478708E-2,4.895990610E-2,1.160213768E-1
8.882188750E-1,1.258823121E-1,-2.550438523E-2,5.505911848E-2,1.397438252E-1
8.981968750E-1,1.500939145E-1,-3.745843291E-2,3.088733196E-2,1.577508942E-1
9.081748750E-1,1.375190204E-1,-4.358222187E-2,1.351119775E-2,1.448911436E-1
9.181538750E-1,1.131401876E-1,-6.109170914E-2,-2.918111444E-2,1.318500528E-1
9.281318750E-1,1.160457056E-1,-2.709190428E-2,-6.459415477E-2,1.355469731E-1
9.381108750E-1,8.589978235E-2,-4.366934538E-2,-5.422590852E-2,1.105722998E-1
9.480888750E-1,6.865064235E-2,-3.584284723E-2,-5.899255872E-3,7.766866558E-2
9.580668750E-1,7.813277962E-2,-8.110672832E-3,3.615274966E-2,8.647274468E-2
9.680458750E-1,6.610416166E-2,-2.305323243E-2,8.071554959E-2,1.068466736E-1
9.780238750E-1,9.827219831E-2,-9.865422249E-3,1.164970011E-1,1.527295085E-1
9.880028750E-1,1.373033861E-1,6.906146407E-3,1.136961665E-1,1.784004847E-1
9.979808750E-1,1.102053239E-1,1.558750749E-2,1.256391227E-1,1.678492567E-1
