"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.912310833E-1,6.034976142E-2,1.753024489E-1,-8.223936322E-1,8.430328159E-1
6.012090833E-1,1.231495793E-2,1.032483798E-1,-8.900079104E-1,8.960613633E-1
6.111870833E-1,-4.164457337E-2,1.310758638E-1,-1.020987149E0,1.030208674E0
6.211640833E-1,-1.210267111E-1,1.466610324E-1,-1.182775659E0,1.197962931E0
6.311420833E-1,-1.213121557E-1,1.252280635E-1,-1.331633198E0,1.342998765E0
6.411200833E-1,-1.622175862E-1,1.332709086E-1,-1.382702195E0,1.398549620E0
6.510980833E-1,-1.391952253E-1,1.517141962E-1,-1.369688924E0,1.385077708E0
6.610750833E-1,6.422691308E-3,1.646260178E-1,-1.319104662E0,1.329353258E0
6.710530833E-1,1.749079445E-2,1.861958116E-1,-1.270903432E0,1.284589561E0
6.810310833E-1,-2.829627539E-2,2.518717378E-1,-1.121909068E0,1.150182598E0
6.910090833E-1,9.420933360E-3,2.961123562E-1,-8.963153020E-1,9.440086875E-1
7.009860833E-1,4.400025210E-2,2.359702349E-1,-6.838491198E-1,7.247534702E-1
7.109640833E-1,1.661437723E-1,1.949935323E-1,-5.387957793E-1,5.965962810E-1
7.209420833E-1,2.348602141E-1,1.295520794E-1,-5.232395545E-1,5.879818814E-1
7.309190833E-1,7.604928877E-2,5.349676073E-2,-5.019011642E-1,5.104411586E-1
7.408970833E-1,-5.897996893E-2,8.172010124E-2,-3.741870108E-1,3.875212649E-1
7.508750833E-1,-6.020541742E-2,1.455833906E-1,-2.652402270E-1,3.084989367E-1
7.608530833E-1,-4.759523906E-3,9.126626551E-2,-3.331296167E-1,3.454381649E-1
7.708300833E-1,-4.519563312E-2,8.969687283E-2,-3.317218995E-1,3.465942770E-1
7.808080833E-1,-1.789123005E-1,2.611489302E-1,-1.351420176E-1,3.441972399E-1
7.907860834E-1,-1.666652708E-1,3.109467423E-1,-2.106137842E-2,3.534243493E-1
8.007640833E-1,7.824031357E-4,2.218100327E-1,-1.049407102E-1,2.453830789E-1
8.107410833E-1,1.420149719E-1,2.205487883E-1,-2.311123681E-1,3.496039859E-1
8.207190833E-1,1.742554684E-1,3.616730922E-1,-2.348898156E-1,4.651296802E-1
8.306970834E-1,2.507736307E-1,4.321636158E-1,-2.446673834E-1,5.563406629E-1
8.406740833E-1,3.825395757E-1,4.077702016E-1,-3.280492634E-1,6.482510188E-1
8.506520833E-1,5.821189330E-1,3.537688261E-1,-4.454578453E-1,8.139087949E-1
8.606300833E-1,8.000482053E-1,2.673732913E-1,-5.386506222E-1,1.000854685E0
8.706080834E-1,9.599993011E-1,2.329191577E-1,-5.243923330E-1,1.118408383E0
8.805850833E-1,1.019585498E0,2.715201366E-1,-2.974999005E-1,1.096259077E0
8.905630833E-1,9.862437245E-1,2.755880445E-1,6.363583267E-2,1.025999500E0
9.005410833E-1,8.728743991E-1,2.113943875E-1,4.144477218E-1,9.891229539E-1
9.105190834E-1,7.722387014E-1,1.162099028E-1,4.961340554E-1,9.252061146E-1
9.204960833E-1,5.524413900E-1,-3.972890675E-2,2.916328043E-1,6.259549248E-1
9.304740833E-1,3.510189537E-1,-7.008121848E-2,3.273388267E-2,3.594401064E-1
9.404520833E-1,1.815282169E-1,-5.009075761E-2,-2.850425537E-1,3.416296752E-1
9.504300834E-1,-1.589249460E-2,-8.605054915E-2,-5.352523667E-1,5.423581514E-1
9.604070833E-1,-9.044356227E-2,-2.800699353E-2,-6.825146390E-1,6.890505512E-1
9.703850833E-1,-1.099524318E-1,6.179103613E-2,-6.800152467E-1,6.916129013E-1
9.803630833E-1,-1.437383382E-1,6.395801425E-2,-4.018171513E-1,4.315186677E-1
9.903400833E-1,-2.369275337E-2,6.642846286E-2,-2.968105137E-2,7.651831187E-2
1.000318083E0,2.712152591E-1,9.829169512E-4,1.534303540E-1,3.116080173E-1
1.010296083E0,3.533051785E-1,-7.842344105E-2,1.626625228E-1,3.967793865E-1
1.020274083E0,1.816905685E-1,-1.051534027E-1,3.323615849E-2,2.125402151E-1
1.030251083E0,-2.662328649E-3,-1.119671631E-1,-1.387054570E-1,1.782776974E-1
1.040229083E0,-1.333740754E-1,-8.367891848E-2,-2.766738725E-1,3.183382432E-1
1.050207083E0,-1.988739639E-1,-3.984818995E-2,-3.154005665E-1,3.749883319E-1
1.060185083E0,-2.215542353E-1,-6.576129556E-2,-2.913100380E-1,3.718499232E-1
1.070162083E0,-2.207570771E-1,-1.083518296E-1,-2.590347232E-1,3.571733387E-1
1.080140083E0,-2.210692270E-1,-1.037939250E-1,-2.964715214E-1,3.841095482E-1
1.090118083E0,-1.970905814E-1,-1.190534037E-1,-3.775267942E-1,4.422045800E-1
1.100095083E0,-1.501758851E-1,-1.776647240E-1,-4.942294711E-1,5.462419983E-1
1.110073083E0,-1.122640737E-1,-2.012921530E-1,-6.536638923E-1,6.931076664E-1
1.120051083E0,-1.042314064E-1,-1.910460770E-1,-7.892426969E-1,8.186982498E-1
1.130029083E0,-1.403755314E-1,-1.501325244E-1,-8.444490373E-1,8.691025494E-1
1.140006083E0,-1.412626089E-1,-5.800554872E-2,-8.156491613E-1,8.298212595E-1
1.149984083E0,-7.750520892E-3,5.551931262E-3,-7.648829041E-1,7.649423191E-1
1.159962083E0,1.613258127E-1,-1.338720024E-2,-7.162609671E-1,7.343262272E-1
1.169940083E0,3.232536694E-1,-7.085714400E-2,-7.195864248E-1,7.920342748E-1
1.179917083E0,4.295205282E-1,-1.380954462E-1,-7.755625512E-1,8.972488546E-1
1.189895083E0,4.668310996E-1,-1.774776131E-1,-8.885177475E-1,1.019261187E0
1.199873083E0,3.691827444E-1,-2.424518734E-1,-9.326080924E-1,1.031909232E0
1.209851083E0,1.453259304E-1,-2.390055245E-1,-8.065941632E-1,8.537197496E-1
1.219828083E0,5.889142930E-2,-1.301683760E-1,-5.516840659E-1,5.698835979E-1
1.229806083E0,2.189513655E-2,-1.497694123E-1,-3.696394850E-1,3.994291211E-1
1.239784083E0,1.259880370E-2,-1.521433818E-1,-2.123778892E-1,2.615544041E-1
1.249761083E0,4.336927358E-2,-1.129915953E-1,-1.192213650E-1,1.698873991E-1
1.259739083E0,8.989003194E-2,-1.583753443E-1,-1.186916073E-1,2.173721812E-1
1.269717083E0,1.514626289E-1,-1.303759521E-1,-2.917415625E-1,3.536268600E-1
1.279695083E0,2.223084348E-1,-1.378054243E-1,-4.809077597E-1,5.474336932E-1
1.289672083E0,2.657373499E-1,-1.628046101E-1,-5.475217254E-1,6.300013651E-1
1.299650083E0,3.424346564E-1,-1.224711013E-1,-5.441490515E-1,6.544912946E-1
1.309628083E0,3.357719734E-1,-5.198700964E-2,-5.349886572E-1,6.337652015E-1
1.319606083E0,3.333650767E-1,3.015701473E-2,-4.542253067E-1,5.642360757E-1
1.329583083E0,4.301125222E-1,1.606247681E-1,-3.181844258E-1,5.586039981E-1
1.339561083E0,5.043986562E-1,2.788332492E-1,-3.015097748E-1,6.504414882E-1
1.349539083E0,5.595663319E-1,3.810922801E-1,-4.255064146E-1,7.996258592E-1
1.359517083E0,6.778380360E-1,5.189924294E-1,-6.282441455E-1,1.059956721E0
1.369494083E0,7.274295875E-1,5.622530544E-1,-8.623795241E-1,1.260547796E0
1.379472083E0,5.722284043E-1,5.928503644E-1,-7.930816863E-1,1.143632573E0
1.389450083E0,3.522847297E-1,6.842914617E-1,-3.937130566E-1,8.645052379E-1
1.399427083E0,1.692268812E-1,8.260858566E-1,1.276205979E-1,8.528438290E-1
1.409405083E0,1.052559117E-1,8.834020185E-1,3.959939092E-1,9.738013706E-1
1.419383083E0,1.464723684E-1,7.739544207E-1,3.211675291E-1,8.506516218E-1
1.429361083E0,1.690977491E-1,6.568206578E-1,1.901444364E-1,7.043879130E-1
1.439338625E0,1.306290817E-1,5.897016388E-1,6.346158564E-2,6.073214574E-1
1.449316625E0,-2.346325016E-2,4.980067724E-1,1.609796941E-2,4.988190194E-1
1.459294625E0,-1.891805229E-1,4.167959636E-1,5.875501558E-2,4.614762154E-1
1.469272625E0,-3.255556452E-1,2.902932072E-1,1.950946891E-1,4.778269163E-1
1.479249625E0,-4.673234352E-1,1.328189188E-1,3.338749905E-1,5.894951802E-1
1.489227625E0,-6.343145786E-1,-2.763335645E-2,4.227298643E-1,7.627706898E-1
1.499205625E0,-6.907155783E-1,-1.212718374E-1,3.477765995E-1,7.827792995E-1
1.509183625E0,-6.887811001E-1,-1.665900975E-1,3.857057333E-2,7.096896177E-1
1.519160625E0,-6.758787071E-1,-2.487849927E-1,-3.109074198E-1,7.844548572E-1
1.529138625E0,-6.538955882E-1,-2.093560481E-1,-4.848041980E-1,8.405025316E-1
1.539116625E0,-5.423653949E-1,-6.050114036E-2,-4.253603804E-1,6.919191158E-1
1.549093625E0,-4.492058740E-1,7.174065828E-2,-2.444698937E-1,5.164282799E-1
1.559071625E0,-3.379627790E-1,9.476991713E-2,-6.490117013E-2,3.569486504E-1
1.569049625E0,-1.215176580E-1,1.719935095E-1,8.421218455E-2,2.268038812E-1
1.579027625E0,3.224652866E-2,1.942427498E-1,2.395569170E-1,3.100928908E-1
1.589004625E0,1.341771905E-1,1.062070709E-1,4.086291575E-1,4.430138246E-1
1.598982625E0,2.753965848E-1,3.595803738E-2,5.879157530E-1,6.502162655E-1
1.608960625E0,3.683139212E-1,-2.667616725E-2,6.639834970E-1,7.597636783E-1
1.618938625E0,4.548995637E-1,-8.171834707E-2,6.832274146E-1,8.248704149E-1
1.628915625E0,5.347835661E-1,-1.310197306E-1,6.390071154E-1,8.434985038E-1
1.638893625E0,5.019639852E-1,-2.348586792E-1,4.793833905E-1,7.327584027E-1
1.648871625E0,3.487125560E-1,-3.399869388E-1,2.578135322E-1,5.510529763E-1
1.658849625E0,1.448838261E-1,-4.480370522E-1,-8.006738573E-3,4.709486501E-1
