"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.138853333E-1,1.723808437E0,-6.749672577E0,5.215511709E-1,6.985814989E0
6.238643333E-1,1.644296098E0,-6.388295939E0,7.559964520E-1,6.639696175E0
6.338433333E-1,1.547888815E0,-5.703888702E0,9.645911926E-1,5.988383946E0
6.438213333E-1,1.432151805E0,-4.778320073E0,8.628174806E-1,5.062396223E0
6.538003333E-1,1.238312075E0,-3.637596712E0,5.222779799E-1,3.877924821E0
6.637783333E-1,1.012529517E0,-2.378314036E0,-2.800383604E-1,2.600002915E0
6.737573333E-1,7.353380929E-1,-1.195500078E0,-1.973142922E0,2.421411889E0
6.837353333E-1,7.549866378E-1,3.682477015E-1,-4.042376647E0,4.128731058E0
6.937143333E-1,9.082872567E-1,2.035709299E0,-4.879106190E0,5.364212459E0
7.036923333E-1,9.277760996E-1,4.226765084E0,-3.860996017E0,5.799448406E0
7.136713333E-1,1.122797114E0,6.221052123E0,-1.754283979E0,6.560463029E0
7.236503333E-1,1.601382798E0,6.637538769E0,9.465706587E-2,6.828638790E0
7.336283333E-1,2.297541769E0,6.418544755E0,4.545806712E-1,6.832500167E0
7.436073333E-1,2.658233990E0,6.508648594E0,-6.168292111E-1,7.057562805E0
7.535853333E-1,2.145147103E0,6.737717945E0,-2.057122387E0,7.364119208E0
7.635643333E-1,1.110270916E0,6.875839119E0,-3.268830362E0,7.693836301E0
7.735423333E-1,1.067241932E-1,6.836889061E0,-3.942094560E0,7.892689757E0
7.835213333E-1,-3.779224315E-1,6.469110307E0,-3.704537390E0,7.464302432E0
7.934993333E-1,-3.826762543E-1,5.928759753E0,-2.451900076E0,6.427164795E0
8.034783333E-1,-2.599413888E-1,5.237456895E0,-8.491612353E-1,5.312212256E0
8.134573333E-1,-1.460888641E-1,4.289313920E0,3.612678802E-1,4.306979259E0
8.234353333E-1,-8.843727294E-2,3.144020959E0,1.128607346E0,3.341622882E0
8.334143333E-1,-1.342853274E-1,1.950935197E0,1.493444951E0,2.460601250E0
